Job Opening ID,Featured Jobs,Remote,Posting Date,Posting Title,Company,Industry,Job Type,Salary,Location,City,State,Zip Code,Country,Full Address,Latitude,Longitude,Job Discription,Job Details Link,Send Applications to  (Email/URL),Company Logo,Status
,,,11/26/21,Cannabis Delivery Driver (Battle Creek),Forty Acres Enterprises,Wellness,,,"Battle Creek, MI",,,,United States,"Battle Creek, MI    United States",42.3211522,-85.1797142,,http://jobviewtrack.com/en-gb/job-481b416948080618420659432c1307110052762c1b1a5c4e4f2f690103075111521a6a220f090b4116011a721b180c1b1a/98d0c50ccf9aaca3c2a42a2fd4ed8aa5.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/08/22,Indoor Agriculture/Cannabis Energy Advisor I,Franklin Energy,Wellness,,,Colorado,,,,United States,Colorado    United States,39.5500507,-105.7820674,,http://jobviewtrack.com/en-gb/job-1b49416843011d095e5461071e081d081722350f1b1a495e515958160a6c621a45110f186c2601561d1b060128685c4343050d075475135459/9229d33743b2969515d11cd1718cbd3e.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/08/22,Indoor Agriculture/Cannabis Energy Advisor II,Franklin Energy,Wellness,,,"Arvada, CO",,,,United States,"Arvada, CO    United States",39.8027644,-105.0874842,,http://jobviewtrack.com/en-gb/job-484a416843011d095e5461071e081d081722350f1b1a495e515958160a6c621a45110f186c2601561d1b060128685c4343050d075475175a5054/de1e479d370629d51dd77e666b236cfb.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/22/22,Dispensary Receptionist,From The Earth,Wellness,,,"Santa Ana, CA",,,,United States,"Santa Ana, CA    United States",33.7454725,-117.867653,,http://jobviewtrack.com/en-gb/job-491a417f48070a1e531d4f0d01121a65214907180c1d594a4f542c53585f14/e873093e7acfb76196fa8ad487f2d192.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/23/22,Accounts Payable Specialist,Gage Cannabis,Wellness,,,Michigan,,,,United States,Michigan    United States,44.3148443,-85.6023643,,http://jobviewtrack.com/en-gb/job-181d416c4e07001b4900534338001706074c11483a034f48544c410d1c1a25354300071400131600240910124847582f6c070c01521a541048321e020649150400005e297c4e4e0b1a005307223309180f050945755b5145/8773e278cc8fbb512c489ac50cc2c47c.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/22/22,Receptionist,Gage Cannabis,Wellness,,,"Kalamazoo, MI",,,,United States,"Kalamazoo, MI    United States",42.2917069,-85.5872286,,http://jobviewtrack.com/en-gb/job-481c417f48070a1e531d4f0d01121a665413405c59/cfbcff6791a4d2a49cabf00ecf8a5259.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/21/22,VP of Retail,Gage Cannabis,Wellness,,,Michigan,,,,United States,Michigan    United States,44.3148443,-85.6023643,,http://jobviewtrack.com/en-gb/job-134d417b7d443d0b5315490f6a373e473370763a0c074b42512c1e5c59/c69fc0a794078ebca781b36b63009801.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/20/22,Product Specialist,Gage Cannabis,Wellness,,,Michigan,,,,United States,Michigan    United States,44.3148443,-85.6023643,,http://jobviewtrack.com/en-gb/job-1819417d5f0b0b1b4400003018040d0e044c1d1b1d71795b584e44050307540022331a0e0a120654755b5145/bd02738e150cd4612ccfe8ad2c4fc9db.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/19/22,Wholesale Manager,Gage Cannabis,Wellness,,,Michigan,,,,United States,Michigan    United States,44.3148443,-85.6023643,,http://jobviewtrack.com/en-gb/job-4c1a417a450b030b54154c06482c0f090447111a6b3e4b455c4a48166d394f1b4c061b00020264134c5e/a7f7d4e572149a393338f4e3ec5ab91f.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/19/22,Receptionist,Gage Cannabis,Wellness,,,Michigan,,,,United States,Michigan    United States,44.3148443,-85.6023643,,http://jobviewtrack.com/en-gb/job-4918417f48070a1e531d4f0d01121a66561842/aaa131b09a92e6e1ed0c889eab33024b.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
